ID,B_treat,L_treat,day,silo,container,length,normality
BG7,T,T,14,1,4,218.5,a
BG7,T,T,14,1,4,219.4,n
BG6,T,C,14,2,2,219.7,n
BG7,T,T,14,1,4,220,n
BG9,T,C,14,3,3,220.5,n
BG7,T,T,14,1,4,220.7,n
BG7,T,C,14,3,3,220.8,n
BG9,T,C,14,3,3,224.7,n
BG8,T,C,14,1,1,225.8,n
BG9,T,C,14,2,2,228.3,n
BG8,T,C,14,1,1,229.7,n
BG4,C,C,14,2,2,230.1,n
BG8,T,C,14,3,3,230.8,n
